iso3,countryname,genero,age,Fruits (g/day),Non-starchy vegetables (g/day),Beans and legumes (g/day),Unprocessed red meats (g/day),Sugar-sweetened beverages (g/day),Total Protein (g/day)
LUX,Luxembourg,MALE,32,82.72055433333334,85.17187308333332,8.5327526,71.83531375,208.45188083333332,81.51853766666666
LUX,Luxembourg,MALE,37,92.63484883333335,94.42061358333335,9.021980050000002,73.658786,187.5836425,82.80304533333334
LUX,Luxembourg,MALE,42,101.8913155,102.08178783333334,9.455119141666666,74.80150533333334,168.30815416666667,83.18280091666666
LUX,Luxembourg,MALE,47,110.14479750000002,9146.874765833332,9.852099625000001,75.32591699999999,151.0268025,83.22940575
LUX,Luxembourg,MALE,52,117.17620749999999,112.10904166666667,10.207630166666666,75.36979725,135.63179333333332,83.52146141666667
LUX,Luxembourg,MALE,57,122.8395333333333,114.46399166666667,10.508185333333332,75.04416216666665,121.94173658333331,83.21338133333333
LUX,Luxembourg,MALE,62,10963.947145,115.14244666666667,10.768480166666668,74.38072466666667,109.79255416666668,82.99025266666665
LUX,Luxembourg,MALE,67,129.91513833333335,9712.512854166665,11.009304333333333,73.44862566666667,99.07606358333332,82.06781316666667
LUX,Luxembourg,MALE,72,131.49156333333335,112.64248083333335,11.190687583333334,72.36740516666667,89.70044683333333,81.24957658333334
LUX,Luxembourg,MALE,77,132.00754500000002,110.00499833333332,924.51400725,71.13142516666666,81.76407633333334,80.77606725
LUX,Luxembourg,MALE,82,131.43847333333335,106.66773833333333,11.434314666666666,69.83682566666666,75.11094824999999,79.65554508333335
LUX,Luxembourg,MALE,87,130.04872916666665,102.92597508333334,11.503550500000001,68.40938816666666,69.65723408333334,78.60142066666667
LUX,Luxembourg,MALE,92,127.82660833333331,98.959202,11.51686233333333,67.06430491666667,65.28338558333334,78.03236641666668
LVA,Latvia,MALE,22,1.608084292383292,2.1702167616707615,0.11940214398034396,1.588886240786241,3.2540083390663397,2.2634365257985256
LVA,Latvia,MALE,27,58.043621083333335,87.084493,4.140271941666667,56.11026766666666,85.78266141666666,78.38950924999999
LVA,Latvia,MALE,32,61.660790416666664,100.15289366666667,4.237479366666666,57.59760191666666,67.15401791666667,79.49445416666667
LVA,Latvia,MALE,37,64.78413866666666,111.4443375,4.339779825,58.31685816666667,53.610834166666656,80.17818625
LVA,Latvia,MALE,42,67.07074375,9861.355665833333,4.452814383333334,58.208961499999994,43.861477750000006,80.10816125000001
LVA,Latvia,MALE,47,68.47054741666666,126.09591916666669,4.574702025,57.42751591666667,36.71509566666666,79.342687
LVA,Latvia,MALE,52,68.94707816666666,129.13851333333335,4.710269133333333,56.13628466666666,31.404428749999997,78.7304345
LVA,Latvia,MALE,57,68.63233316666667,129.45773166666666,4.8606246833333335,54.38610400000001,27.4918935,77.85101775
LVA,Latvia,MALE,62,67.57782075,127.47998916666667,5.0147648416666675,52.319616833333335,24.480806083333338,76.48721491666667
LVA,Latvia,MALE,67,65.90514241666666,123.50653,5.176103108333334,50.026357333333344,22.197083333333335,75.45913691666667
LVA,Latvia,MALE,72,63.77400374999999,118.13954583333332,5.35066935,47.61989275,20.458255333333337,74.04491041666667
LVA,Latvia,MALE,77,61.2627585,111.82996750000001,5.518534475,45.124213833333336,19.136137,72.57073658333333
LVA,Latvia,MALE,82,58.489571666666656,104.9686,5.697781083333333,42.648664749999995,18.248842,71.23994183333333
LVA,Latvia,MALE,87,55.56131466666667,97.87576241666666,5.881075541666668,40.20750616666666,17.680619333333333,69.68356958333335
LVA,Latvia,MALE,92,52.563510666666666,90.63516358333334,6.063298724999999,37.835506083333335,17.455868416666668,67.85540208333333
MAR,Morocco,MALE,22,2.387001533169533,4.897126732186732,0.7349287002457002,0.47141479852579854,8.00920402948403,1.9328770933660933
MAR,Morocco,MALE,27,83.01362283333332,14280.1703025,26.571018249999998,16.20641075,219.86792250000005,65.92066816666666
MAR,Morocco,MALE,32,85.05588558333334,179.19561666666664,27.041332750000006,16.310141833333333,14807.004795833333,66.27957966666668
MAR,Morocco,MALE,37,86.73188524999999,182.69369749999998,27.843217999999997,16.300316333333335,12385.728122499997,66.6444085
MAR,Morocco,MALE,42,87.84788800000001,184.7754575,28.012716833333332,16.191982916666667,128.64952749999998,66.98100408333333
MAR,Morocco,MALE,47,88.41564366666667,185.67202583333332,28.890299666666664,16.018590749999998,112.65717358333332,67.31422366666666
MAR,Morocco,MALE,52,88.47960291666665,185.66320583333334,29.775691166666665,15.777529333333334,100.79412574999999,67.63067574999998
MAR,Morocco,MALE,57,88.09635083333335,184.89364333333333,29.636385999999998,15.486312333333332,91.82449058333333,67.91497033333333
MAR,Morocco,MALE,62,87.2852415,183.56875416666665,30.109582333333336,15.167230250000001,85.11555041666666,68.19366958333333
MAR,Morocco,MALE,67,86.12470141666665,181.6872875,30.981473500000003,14.79784208333333,80.08389991666667,68.45680675000001
MAR,Morocco,MALE,72,84.69377391666667,14197.640557500003,31.313516916666668,14.452630749999997,76.38872666666667,68.73626824999998
MAR,Morocco,MALE,77,83.03844833333333,177.21530500000003,32.13708808333334,14.085525083333332,74.06484808333333,69.0062815
MAR,Morocco,MALE,82,81.22845475000001,174.899355,31.949456833333333,13.744324333333333,73.01281183333333,69.29338091666666
MAR,Morocco,MALE,87,79.31126525,172.76401166666665,33.00798066666666,13.348989333333334,73.02690108333334,69.56155066666666
MAR,Morocco,MALE,92,77.32709858333334,170.79628166666666,32.9143765,12.993252416666666,74.25533425,69.85177166666668
